Year,age_group,avg_obesity,avg_malnutrition
2012,Adult,19.517937064076225,6.443665030078282
2012,Child/Adolescent,8.243313413006918,5.274296229762375
2013,Adult,19.949264174699785,6.32099640707648
2013,Child/Adolescent,8.496428425018749,5.238137397840225
2014,Adult,20.391705714804786,6.206417962908745
2014,Child/Adolescent,8.763222735521024,5.207281414107986
2015,Adult,20.847085433441496,6.099508170949088
2015,Child/Adolescent,9.043279222805033,5.181182498362644
2016,Adult,21.315221863512008,5.999506835615824
2016,Child/Adolescent,9.340135586403665,5.159310933411437
2017,Adult,21.79026988593359,5.9068406901425785
2017,Child/Adolescent,9.656572578051103,5.140600528098918
2018,Adult,22.269402694418318,5.820722277604398
2018,Child/Adolescent,9.990594405755795,5.124408166993548
2019,Adult,22.75732236542399,5.741474372574261
2019,Child/Adolescent,10.34036445696518,5.112282850920523
2020,Adult,23.2621924968939,5.667585234083827
2020,Child/Adolescent,10.703271341371158,5.105024394006641
2021,Adult,23.777187284874536,5.5995803148500505
2021,Child/Adolescent,11.07550146653854,5.102574315383321
2022,Adult,24.28786523900335,5.540512037064348
2022,Child/Adolescent,11.454088340802167,5.104581827343141
