Country,avg_obesity,avg_CI
Timor-Leste,0.9940674264322628,1.2735691677891847
Ethiopia,1.4919943780158504,1.5894139472282294
Burkina Faso,1.7214959792115472,1.5315138878244343
Rwanda,1.7671937908638606,2.3605786300066747
Bangladesh,1.97667257623239,1.6635064281749004
Madagascar,1.9841098202900453,4.35688549867182
Malawi,2.3913238698785957,2.6327135287451022
Nepal,2.494254725449013,3.098050867066239
Mozambique,2.7722433692578115,2.764629333308249
Niger,3.080739543745012,4.666968098192504
