Country,min_obesity,max_obesity,min_malnutrition,max_malnutrition,obesity_trend,malnutrition_trend
"Micronesia, Federated States of",9.43832,54.0626,0.546826,2.21266,Obesity ↑,Malnutrition ↑
Europe,4.87627,26.7359,1.2474,3.58649,Obesity ↑,Malnutrition ↑
Gabon,2.06268,30.2349,3.96353,9.82883,Obesity ↑,Malnutrition ↑
Mongolia,1.92557,26.3945,2.3509,5.11756,Obesity ↑,Malnutrition ↑
Sierra Leone,0.816964,10.57,2.73102,9.85371,Obesity ↑,Malnutrition ↑
South-East Asia Region,1.46499,10.5852,12.5996,27.4596,Obesity ↑,Malnutrition ↑
Qatar,13.5629,50.5895,1.53628,7.50801,Obesity ↑,Malnutrition ↑
Uzbekistan,2.01095,31.5765,2.36854,4.82134,Obesity ↑,Malnutrition ↑
United Kingdom,9.90444,29.2006,0.667587,2.5215,Obesity ↑,Malnutrition ↑
Honduras,7.11501,34.8023,1.71633,3.54205,Obesity ↑,Malnutrition ↑
Vanuatu,3.03911,24.6521,1.27393,3.78069,Obesity ↑,Malnutrition ↑
Montenegro,2.88613,22.6945,0.904363,2.8289,Obesity ↑,Malnutrition ↑
Trinidad and Tobago,9.29673,34.9438,5.1466,11.2486,Obesity ↑,Malnutrition ↑
Cook Islands,14.7855,71.514,0.449898,1.63716,Obesity ↑,Malnutrition ↑
Lesotho,0.738303,30.6726,2.34806,12.0896,Obesity ↑,Malnutrition ↑
Germany,5.93551,25.7346,0.598635,2.52333,Obesity ↑,Malnutrition ↑
Gambia,1.75629,17.7558,8.43321,15.0077,Obesity ↑,Malnutrition ↑
Low Income,1.94001,11.2893,6.1366,16.5117,Obesity ↑,Malnutrition ↑
"Venezuela, Bolivarian Republic of",8.88922,25.3552,1.60777,5.00299,Obesity ↑,Malnutrition ↑
Cyprus,7.43249,27.0869,0.768715,4.28619,Obesity ↑,Malnutrition ↑
Congo,0.474174,12.1263,4.42723,17.0444,Obesity ↑,Malnutrition ↑
Niue,17.2575,68.7996,0.353357,1.24984,Obesity ↑,Malnutrition ↑
Algeria,10.1685,32.9296,3.33591,6.87127,Obesity ↑,Malnutrition ↑
Latvia,2.72812,31.6459,1.08991,3.06782,Obesity ↑,Malnutrition ↑
Palau,15.6197,45.0519,0.781147,2.75419,Obesity ↑,Malnutrition ↑
Croatia,4.88652,36.7334,0.655394,2.60105,Obesity ↑,Malnutrition ↑
Peru,5.22219,31.3247,0.825172,1.98527,Obesity ↑,Malnutrition ↑
Tonga,17.4031,79.0533,0.175309,1.06922,Obesity ↑,Malnutrition ↑
Afghanistan,3.10666,21.7908,5.12294,15.9492,Obesity ↑,Malnutrition ↑
Italy,5.16604,22.9276,0.642659,3.09347,Obesity ↑,Malnutrition ↑
Myanmar,1.71261,13.7022,8.15646,20.2815,Obesity ↑,Malnutrition ↑
Benin,2.60584,13.4382,3.23912,10.3143,Obesity ↑,Malnutrition ↑
Kiribati,6.87053,55.4566,0.377192,1.83549,Obesity ↑,Malnutrition ↑
Malta,7.6143,36.842,0.892635,3.26017,Obesity ↑,Malnutrition ↑
Jamaica,8.97371,48.8298,0.818049,5.14232,Obesity ↑,Malnutrition ↑
Maldives,4.19415,23.9023,5.22857,18.5148,Obesity ↑,Malnutrition ↑
"Bolivia, Plurinational State of",6.55521,33.121,0.687478,2.67036,Obesity ↑,Malnutrition ↑
Kyrgyzstan,0.902711,26.5217,2.71074,4.47583,Obesity ↑,Malnutrition ↑
Lithuania,3.17136,32.1591,0.560609,3.02291,Obesity ↑,Malnutrition ↑
South Africa,4.88795,45.7316,1.68262,8.60581,Obesity ↑,Malnutrition ↑
Ecuador,6.57463,31.9212,1.09905,3.41958,Obesity ↑,Malnutrition ↑
Greece,7.24314,34.2089,0.594749,2.02825,Obesity ↑,Malnutrition ↑
Australia,9.92083,32.6915,0.750035,2.47705,Obesity ↑,Malnutrition ↑
El Salvador,6.22555,36.6031,1.57559,4.24458,Obesity ↑,Malnutrition ↑
Malawi,0.564396,10.0033,1.67926,10.2677,Obesity ↑,Malnutrition ↑
Nauru,13.4965,71.0085,0.215117,1.66373,Obesity ↑,Malnutrition ↑
Seychelles,9.53061,41.1271,2.454,7.02439,Obesity ↑,Malnutrition ↑
Paraguay,6.05589,35.0199,1.38461,3.29503,Obesity ↑,Malnutrition ↑
Singapore,5.68115,25.2339,2.65444,8.78752,Obesity ↑,Malnutrition ↑
"Tanzania, United Republic of",0.451628,16.7748,3.56337,13.0015,Obesity ↑,Malnutrition ↑
Guatemala,4.98463,29.4786,0.854915,3.2021,Obesity ↑,Malnutrition ↑
"Palestine, State of",7.63234,39.1874,2.35191,5.34889,Obesity ↑,Malnutrition ↑
"Congo, The Democratic Republic of the",1.81837,7.94984,3.98889,19.254,Obesity ↑,Malnutrition ↑
Netherlands,3.08382,17.0577,0.625967,2.26564,Obesity ↑,Malnutrition ↑
Iraq,10.6535,45.1295,2.29131,5.37799,Obesity ↑,Malnutrition ↑
"Korea, Democratic People's Republic of",2.97732,14.6109,7.65866,13.2282,Obesity ↑,Malnutrition ↑
Bosnia and Herzegovina,4.63955,26.3102,0.819047,4.14947,Obesity ↑,Malnutrition ↑
Costa Rica,9.36653,38.7305,1.70707,3.75871,Obesity ↑,Malnutrition ↑
Antigua and Barbuda,16.5345,42.8115,2.10036,5.22506,Obesity ↑,Malnutrition ↑
American Samoa,10.7365,80.6093,0.246522,1.14696,Obesity ↑,Malnutrition ↑
Sudan,2.25911,20.4429,9.46053,21.7574,Obesity ↑,Malnutrition ↑
Guinea-Bissau,1.69848,13.2974,4.05891,13.1211,Obesity ↑,Malnutrition ↑
Belarus,3.05368,30.068,0.773471,3.11815,Obesity ↑,Malnutrition ↑
Chile,15.3049,44.9708,0.411057,1.62587,Obesity ↑,Malnutrition ↑
Grenada,11.963,42.128,3.238,5.28983,Obesity ↑,Malnutrition ↑
Dominican Republic,8.15431,35.1459,3.6522,6.0251,Obesity ↑,Malnutrition ↑
Africa,1.69413,15.3177,5.95334,14.9233,Obesity ↑,Malnutrition ↑
